listing,address,city,neighbourhood,beds,baths,property_type,unit_type,sold_date,sell_price,ask_price_final,ask_price_orig,sqft,age,property_tax,ownership_type,maintenance_fee,rules,zoning
R2440614,# 906 3557 SAWMILL CRESCENT,Vancouver,South Marine,1,1,Apartment,Inside Unit,2020-03-10,578000,578000,578000,653,2,1488.03,Freehold Strata,307.44,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2461008,# 1604 8533 RIVER DISTRICT CROSSING,Vancouver,South Marine,1,1,Apartment,1 Storey,2020-06-10,517900,529900,529900,550,0,,Freehold Strata,330.0,"Pets Allowed with Restrictions, Rentals Allowed",CD1
R2438439,# 1201 8538 RIVER DISTRICT CROSSING,Vancouver,South Marine,1,1,Apartment,Inside Unit,2020-02-26,520000,525000,525000,585,2,1383.03,Freehold Strata,272.16,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2449280,# 506 3557 SAWMILL CRESCENT,Vancouver,South Marine,1,1,Apartment,1 Storey,2020-05-10,548800,548800,548800,651,2,1434.25,Freehold Strata,307.44,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2438591,# 316 3557 SAWMILL CRESCENT,Vancouver,South Marine,1,1,Apartment,Inside Unit,2020-03-03,558305,550000,550000,680,2,1436.81,Freehold Strata,308.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",MULTI
R2451571,# 903 3557 SAWMILL CRESCENT,Vancouver,South Marine,1,1,Apartment,Upper Unit,2020-05-11,565000,578000,578000,662,2,1505.96,Freehold Strata,307.44,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2431808,# 803 3557 SAWMILL CRESCENT,Vancouver,South Marine,1,1,Apartment,Inside Unit,2020-02-03,568000,575000,575000,661,2,1490.6,Freehold Strata,346.41,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2461806,# 812 3557 SAWMILL CRESCENT,Vancouver,South Marine,1,1,Apartment,Upper Unit,2020-06-04,570000,588000,588000,663,2,1490.6,Freehold Strata,307.44,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2468532,# 516 3438 SAWMILL CRESCENT,Vancouver,South Marine,1,1,Apartment,"1 Storey, Inside Unit",2020-06-22,541900,541900,541900,595,0,,Freehold Strata,236.46,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2430478,# 519 3438 SAWMILL CRESCENT,Vancouver,South Marine,1,1,Apartment,1 Storey,2020-01-20,531900,531900,531900,592,0,,Freehold Strata,236.24,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2457214,# 908 3438 SAWMILL CRESCENT,Vancouver,South Marine,1,1,Apartment,"1 Storey, Inside Unit",2020-06-22,538200,538200,538200,564,0,,Freehold Strata,227.66,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2440037,# 1808 3430 E KENT AVENUE SOUTH,Vancouver,South Marine,1,1,Apartment,"1 Storey, Inside Unit",2020-02-28,503400,503400,503400,526,0,,Freehold Strata,231.08,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2456064,# 116 3430 E KENT AVENUE SOUTH,Vancouver,South Marine,1,1,Apartment,"1 Storey, Ground Level Unit",2020-05-23,478900,478900,478900,546,0,,Freehold Strata,240.51,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2454970,# 112 3400 SE MARINE DRIVE,Vancouver,Champlain Heights,2,1,Apartment,"Corner Unit, Ground Level Unit",2020-06-04,555000,599000,599000,1184,28,1477.8,Leasehold prepaid-Strata,440.69,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",MF
R2428696,# 207 3400 SE MARINE DRIVE,Vancouver,Champlain Heights,2,1,Apartment,"2 Storey, Reverse 2 Storey",2020-01-17,531800,568000,568000,1285,28,1161.24,Leasehold prepaid-Strata,399.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RES
R2443730,# 1109 3281 E KENT AVENUE,Vancouver,South Marine,1,1,Apartment,Upper Unit,2020-03-15,537957,549900,549900,624,3,1249.84,Freehold Strata,371.07,"Pets Allowed, Rentals Allowed",CD1
R2458675,# 101 3138 RIVERWALK AVENUE,Vancouver,South Marine,1,1,Apartment,1 Storey,2020-06-08,552000,550000,550000,693,5,1475.22,Freehold Strata,278.42,"Pets Allowed, Rentals Allowed",CD-1
R2436834,# 106 3162 RIVERWALK AVENUE,Vancouver,South Marine,1,1,Apartment,Ground Level Unit,2020-02-26,544000,549000,549000,663,5,1406.08,Freehold Strata,278.42,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2438836,# 319 3163 RIVERWALK AVENUE,Vancouver,South Marine,1,1,Apartment,Corner Unit,2020-05-07,538000,559900,568800,776,7,1256.57,Freehold Strata,338.32,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2423728,# 103 3133 RIVERWALK AVENUE,Vancouver,South Marine,1,1,Apartment,Ground Level Unit,2020-03-08,562500,567800,597800,779,7,1038.33,Freehold Strata,338.32,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2443466,# 403 3133 RIVERWALK AVENUE,Vancouver,South Marine,1,1,Apartment,"Corner Unit, Penthouse",2020-03-16,548000,548000,548000,811,7,1290.9,Freehold Strata,338.32,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2431844,# 706 3061 E KENT AVENUE NORTH,Vancouver,South Marine,2,1,Apartment,"5 Plus Level, Upper Unit",2020-02-02,508000,515000,515000,903,29,1111.54,Leasehold prepaid-Strata,382.3,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",VA
R2436513,# 409 8495 JELLICOE STREET,Vancouver,South Marine,2,1,Apartment,"Corner Unit, Penthouse",2020-02-27,595000,599900,599900,890,23,1429.12,Freehold Strata,410.38,"Pets Allowed, Rentals Allowed with Restrictions",STRATA
R2432777,# 407 8495 JELLICOE STREET,Vancouver,South Marine,2,1,Apartment,"End Unit, Upper Unit",2020-04-14,515000,539000,549000,833,23,1336.93,Freehold Strata,385.57,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2435583,# 17 2885 E KENT AVENUE,Vancouver,South Marine,2,1,Townhouse,,2020-02-19,556000,499900,499900,951,27,1254.96,Freehold Strata,326.46,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2463491,# 21 2885 E KENT AVENUE,Vancouver,South Marine,2,1,Townhouse,,2020-06-14,537000,499000,499000,945,27,1319.0,Freehold Strata,358.73,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2441489,# 112 8460 JELLICOE STREET,Vancouver,South Marine,2,1,Apartment,"End Unit, Ground Level Unit",2020-03-06,577000,588800,588800,965,26,1227.01,Freehold Strata,442.62,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",-
R2424364,# 408 8460 JELLICOE STREET,Vancouver,South Marine,1,1,Apartment,"1 Storey, Upper Unit",2020-01-30,430000,448000,448000,695,24,1037.29,Freehold Strata,322.98,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2432631,# 108 8450 JELLICOE STREET,Vancouver,South Marine,1,1,Apartment,1 Storey,2020-02-28,435000,455000,455000,695,26,915.25,Freehold Strata,326.93,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2432966,# 102 8460 JELLICOE STREET,Vancouver,South Marine,1,1,Apartment,Ground Level Unit,2020-02-10,460000,439000,439000,695,26,923.83,Freehold Strata,326.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2428215,# 201 2763 CHANDLERY PLACE,Vancouver,South Marine,2,1,Apartment,"Corner Unit, Ground Level Unit",2020-03-02,558888,578500,588000,900,20,1214.14,Freehold Strata,520.9,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
