listing,address,city,neighbourhood,beds,baths,property_type,unit_type,sold_date,sell_price,ask_price_final,ask_price_orig,sqft,age,property_tax,ownership_type,maintenance_fee,rules,zoning
R2427039,# 121 4373 HALIFAX STREET,Burnaby,Brentwood Park,1,1,Apartment,"End Unit, Inside Unit",2020-01-16,383888,399000,399000,696,38,1841.99,Freehold Strata,256.49,"Pets Not Allowed, Rentals Allowed",CD
R2421567,# 414 4373 HALIFAX STREET,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2019-11-29,450000,460000,460000,717,38,1739.72,Freehold Strata,255.7,"Pets Not Allowed, Rentals Allowed",CD
R2432683,# 108 4363 HALIFAX STREET,Burnaby,Brentwood Park,2,1,Apartment,"Ground Level Unit, Inside Unit",2020-02-10,460000,419000,419000,887,37,2029.52,Freehold Strata,319.92,"Pets Not Allowed, Rentals Allowed",CD
R2436778,# 2203 4353 HALIFAX STREET,Burnaby,Brentwood Park,2,1,Apartment,Upper Unit,2020-03-04,508000,525000,525000,939,36,2225.55,Freehold Strata,346.09,"Pets Not Allowed, Rentals Allowed",APT
R2428604,# 3903 4510 HALIFAX WAY,Burnaby,Brentwood Park,1,1,Apartment,"1 Storey, Upper Unit",2020-01-15,588000,599000,599000,556,1,,Freehold Strata,297.53,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2443483,# 1705 4485 SKYLINE DRIVE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-05-05,525000,545000,545000,539,3,2214.5,Freehold Strata,269.09,"Pets Allowed with Restrictions, Rentals Allowed",MIXED
R2427269,# 1306 2008 ROSSER AVENUE,Burnaby,Brentwood Park,1,1,Apartment,1 Storey,2020-01-16,575000,525000,525000,587,5,2361.79,Freehold Strata,334.46,"Pets Allowed with Restrictions, Rentals Allowed",CD-RM5
R2452639,# 806 2008 ROSSER AVENUE,Burnaby,Brentwood Park,1,1,Apartment,"1 Storey, Upper Unit",2020-06-10,575000,575000,575000,585,4,2290.77,Freehold Strata,334.46,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions, Smoking Restrictions",CD
R2437677,# 303 2188 MADISON AVENUE,Burnaby,Brentwood Park,1,1,Apartment,"Inside Unit, Upper Unit",2020-03-17,590000,598000,608000,705,2,2417.03,Freehold Strata,265.0,"Pets Allowed with Restrictions, Rentals Allowed",APT
R2441951,# 1701 4182 DAWSON STREET,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-03-21,534000,549000,549000,683,13,2307.36,Freehold Strata,275.99,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2448566,# 507 4182 DAWSON STREET,Burnaby,Brentwood Park,1,1,Apartment,"Inside Unit, Upper Unit",2020-05-29,478000,489900,489900,683,13,2156.78,Freehold Strata,275.99,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2443435,# 605 4118 DAWSON STREET,Burnaby,Brentwood Park,1,1,Apartment,Inside Unit,2020-03-16,560000,575000,575000,623,14,2106.35,Freehold Strata,246.22,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2451423,# 306 4178 DAWSON STREET,Burnaby,Brentwood Park,1,1,Apartment,1 Storey,2020-04-28,494000,498000,498000,635,14,2080.79,Freehold Strata,246.22,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2449972,# 1505 4178 DAWSON STREET,Burnaby,Brentwood Park,1,1,Apartment,Inside Unit,2020-04-16,543000,558000,558000,642,14,2205.8,Freehold Strata,246.22,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CDRM5
R2433302,# 1805 4178 DAWSON STREET,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-03-05,550000,559000,559000,623,14,2242.74,Freehold Strata,246.22,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2424366,# 1307 4285-4295 DAWSON STREET,Burnaby,Brentwood Park,1,1,Apartment,Inside Unit,2020-01-11,558882,558882,558882,535,0,,Freehold Strata,256.8,"Pets Allowed with Restrictions, Rentals Allowed",CD1
R2433034,# 1410 4285-4295 DAWSON STREET,Burnaby,Brentwood Park,1,1,Apartment,"Corner Unit, Inside Unit",2020-02-10,547182,547182,547182,485,0,,Freehold Strata,232.8,"Pets Allowed with Restrictions, Rentals Allowed",CD1
R2427796,# 1610 4285-4295 DAWSON STREET,Burnaby,Brentwood Park,1,1,Apartment,"Corner Unit, Inside Unit",2020-01-11,550782,550782,550782,485,0,,Freehold Strata,232.8,"Pets Allowed with Restrictions, Rentals Allowed",CD1
R2429360,# 609 2388 MADISON AVENUE,Burnaby,Brentwood Park,1,1,Apartment,"1 Storey, Inside Unit",2020-02-20,595000,599800,619800,545,0,,Freehold Strata,195.0,"Pets Allowed, Rentals Allowed",APT
R2440340,# 1203 2388 MADISON AVENUE,Burnaby,Brentwood Park,1,1,Apartment,1 Storey,2020-05-16,560000,587000,587000,546,0,,Freehold Strata,223.97,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2433111,# 1210 2388 MADISON AVENUE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-02-29,569000,599000,599000,550,0,1070.0,Freehold Strata,185.36,"Pets Allowed with Restrictions, Rentals Allowed",RM4
R2432325,# 1205 2388 MADISON AVENUE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-02-28,577500,595000,595000,545,0,1070.56,Freehold Strata,185.36,"Pets Allowed with Restrictions, Rentals Allowed",RM-4
R2431191,# 1103 2388 MADISON AVENUE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-01-25,576000,588800,588800,546,0,1070.56,Freehold Strata,185.36,"Pets Allowed with Restrictions, Rentals Allowed",RM-4
R2429393,# 1209 2388 MADISON AVENUE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-01-25,565000,599000,599000,550,0,1070.56,Freehold Strata,185.36,"Pets Allowed, Rentals Allowed",RM-4
R2430493,# 1102 2378 ALPHA AVENUE,Burnaby,Brentwood Park,1,1,Apartment,1 Storey,2020-02-04,532500,538000,538000,461,2,1894.62,Freehold Strata,216.73,"Pets Allowed, Rentals Allowed",CD
R2463311,# 1409 2378 ALPHA AVENUE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-06-14,538000,499888,499888,551,2,2130.43,Freehold Strata,292.55,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2436062,# 2202 2378 ALPHA AVENUE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-02-15,515000,510000,510000,458,2,1982.69,Freehold Strata,222.0,No Restrictions,CD
R2430471,# 1407 2378 ALPHA AVENUE,Burnaby,Brentwood Park,1,1,Apartment,1 Storey,2020-01-25,515000,509999,509999,471,2,1948.6,Freehold Strata,221.5,No Restrictions,STRATA
R2454411,# 1109 2378 ALPHA AVENUE,Burnaby,Brentwood Park,1,1,Apartment,1 Storey,2020-06-15,529800,559000,559000,551,2,2104.86,Freehold Strata,292.54,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2450882,# 308 2088 BETA AVENUE,Burnaby,Brentwood Park,2,2,Apartment,Inside Unit,2020-05-03,595000,599000,599000,807,10,2281.37,Freehold Strata,237.22,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2446581,# 407 1945 WOODWAY PLACE,Burnaby,Brentwood Park,2,1,Apartment,Inside Unit,2020-04-08,460000,469900,469900,988,39,2069.73,Freehold Strata,414.44,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2450549,# 601 2041 BELLWOOD AVENUE,Burnaby,Brentwood Park,2,1,Apartment,Inside Unit,2020-04-19,440000,449500,449500,858,37,1948.96,Freehold Strata,366.97,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM4
R2440857,# 1202 2232 DOUGLAS ROAD,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-03-09,570000,548888,548888,621,8,2176.54,Freehold Strata,194.61,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2447775,# 2101 2133 DOUGLAS ROAD,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-05-08,530000,549900,549900,737,9,2375.71,Freehold Strata,239.15,"Pets Allowed, Rentals Allowed",RM5
R2441301,# 114 4728 BRENTWOOD DRIVE,Burnaby,Brentwood Park,1,1,Apartment,1 Storey,2020-03-06,508000,508000,508000,709,11,2348.0,Freehold Strata,229.73,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2466349,# 317 4728 BRENTWOOD DRIVE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-06-19,495000,499900,499900,680,12,2147.12,Freehold Strata,215.37,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2433003,# 120 4788 BRENTWOOD DRIVE,Burnaby,Brentwood Park,1,1,Apartment,Inside Unit,2020-02-17,498000,498000,498000,644,12,2258.23,Freehold Strata,215.37,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2439357,# 210 4788 BRENTWOOD DRIVE,Burnaby,Brentwood Park,1,1,Apartment,1 Storey,2020-02-28,500000,508000,508000,706,12,2245.71,Freehold Strata,236.91,"Pets Allowed with Restrictions, Rentals Allowed",APT
R2428240,# 1501 4888 BRENTWOOD DRIVE,Burnaby,Brentwood Park,1,1,Apartment,Inside Unit,2020-01-18,539000,549000,549000,747,12,2248.0,Freehold Strata,253.39,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2446450,# 407 4868 BRENTWOOD DRIVE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-03-21,496000,498800,498800,697,12,2162.86,Freehold Strata,236.0,"Pets Allowed, Rentals Allowed",CD
R2439506,# 318 1955 WOODWAY PLACE,Burnaby,Brentwood Park,2,1,Apartment,Upper Unit,2020-03-02,450000,429900,429900,944,42,2033.12,Freehold Strata,325.69,"Pets Not Allowed, Rentals Allowed",CD
R2460356,# 416 1955 WOODWAY PLACE,Burnaby,Brentwood Park,2,1,Apartment,"Corner Unit, Upper Unit",2020-06-08,416000,428000,428000,828,41,1966.09,Freehold Strata,283.72,"Pets Not Allowed, Rentals Allowed",CD
R2447266,# 1505 2060 BELLWOOD AVENUE,Burnaby,Brentwood Park,2,1,Apartment,"Corner Unit, End Unit",2020-03-30,528000,559900,559900,1089,38,2235.09,Freehold Strata,282.87,"Pets Not Allowed, Rentals Allowed with Restrictions, Smoking Restrictions",CD
R2461899,# 301 2060 BELLWOOD AVENUE,Burnaby,Brentwood Park,2,1,Apartment,1 Storey,2020-06-07,468000,475000,475000,1011,38,1899.84,Freehold Strata,265.4,"Pets Not Allowed, Rentals Allowed with Restrictions, Smoking Restrictions",CD
R2435420,# 305 2020 BELLWOOD AVENUE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-02-19,469000,459000,459000,1049,45,2004.95,Freehold Strata,303.03,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2418107,# 306 2060 BELLWOOD AVENUE,Burnaby,Brentwood Park,2,1,Apartment,Corner Unit,2019-11-30,485000,498000,498000,969,38,2101.56,Freehold Strata,323.86,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2452319,# 901 2060 BELLWOOD AVENUE,Burnaby,Brentwood Park,2,1,Apartment,"Inside Unit, Upper Unit",2020-05-11,490000,526000,526000,1020,38,2067.47,Freehold Strata,265.4,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2443887,# 1203 2020 BELLWOOD AVENUE,Burnaby,Brentwood Park,2,1,Apartment,Inside Unit,2020-03-16,490000,499000,499000,1082,45,1959.51,Freehold Strata,273.91,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2426993,# 1602 2060 BELLWOOD AVENUE,Burnaby,Brentwood Park,2,1,Apartment,Upper Unit,2020-01-18,501000,499000,499000,1263,38,2172.58,Freehold Strata,282.87,"Pets Not Allowed, Rentals Allowed with Restrictions, Other",CDRM5
R2442694,5626 BROADWAY,Burnaby,Parkcrest,2,1,Townhouse,,2020-03-12,366000,360000,360000,953,50,1827.36,Freehold Strata,207.37,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM1
R2462649,# 404 5460 BROADWAY,Burnaby,Parkcrest,1,1,Apartment,Upper Unit,2020-06-11,570000,573800,573800,648,2,2317.44,Freehold Strata,260.97,"Pets Allowed with Restrictions, Rentals Allowed",CDRM3S
R2458352,# 219 5460 BROADWAY,Burnaby,Parkcrest,1,1,Apartment,Inside Unit,2020-05-31,537000,549000,549000,640,2,1748.85,Freehold Strata,260.0,No Restrictions,CD/RM3
R2441518,# 307 1802 DUTHIE AVENUE,Burnaby,Montecito,1,1,Apartment,End Unit,2020-03-09,351000,359900,359900,721,27,1668.2,Freehold Strata,304.43,"Age Restrictions, Rentals Not Allowed, 55+",CD
R2425615,1934 GOLETA DRIVE,Burnaby,Montecito,3,2,Townhouse,,2020-01-12,573000,594900,594900,1248,47,2420.26,Freehold Strata,378.1,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2435701,# 302 1750 AUGUSTA AVENUE,Burnaby,Simon Fraser Univer.,1,1,Apartment,"Corner Unit, Penthouse",2020-02-27,442000,468000,468000,745,35,1870.82,Freehold Strata,284.33,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2402833,# 6 7305 MONTECITO DRIVE,Burnaby,Montecito,3,3,Townhouse,,2020-02-22,585000,599999,599999,1405,48,2294.19,Freehold Strata,377.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2429044,# 3 7331 MONTECITO DRIVE,Burnaby,Montecito,2,2,Townhouse,,2020-01-20,489000,499900,499900,1240,51,2095.88,Freehold Strata,377.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2358196,# 1006 7321 HALIFAX STREET,Burnaby,Simon Fraser Univer.,2,2,Apartment,Upper Unit,2020-01-07,493000,529000,558000,935,33,1775.31,Freehold Strata,272.18,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2447885,# 1505 7321 HALIFAX STREET,Burnaby,Simon Fraser Univer.,2,2,Apartment,Corner Unit,2020-05-31,490000,549000,549000,976,33,2334.53,Freehold Strata,285.11,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2456364,# 1003 6088 WILLINGDON AVENUE,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-06-17,474000,490000,490000,769,21,,Freehold Strata,248.95,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2425470,# 217 3770 MANOR STREET,Burnaby,Central BN,1,1,Apartment,"Inside Unit, Upper Unit",2019-12-30,399000,399900,399900,690,29,1962.62,Freehold Strata,256.63,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2456802,# 102 3888 NORFOLK STREET,Burnaby,Central BN,1,1,Townhouse,,2020-05-20,445000,449000,449000,635,8,1369.62,Freehold Strata,162.16,"Pets Allowed, Rentals Allowed",RM3
R2433073,# 104 3883 LAUREL STREET,Burnaby,Burnaby Hospital,1,1,Apartment,"1 Storey, Inside Unit",2020-02-28,290000,324999,324999,707,37,1451.54,Freehold Strata,219.87,"Pets Allowed with Restrictions, Rentals Not Allowed",STRATA
R2418331,# 205 3970 LINWOOD STREET,Burnaby,Burnaby Hospital,2,1,Apartment,Other,2020-01-10,480000,529000,559000,945,31,2205.08,Freehold Strata,343.55,"Pets Allowed, Rentals Not Allowed",CD
R2448144,# 408 3183 ESMOND AVENUE,Burnaby,Central BN,2,2,Apartment,Upper Unit,2020-06-09,535000,558000,558000,953,25,2281.31,Freehold Strata,456.1,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2417618,# 106 3738 NORFOLK STREET,Burnaby,Central BN,1,1,Apartment,Corner Unit,2020-01-03,395000,419000,419000,780,27,2002.88,Freehold Strata,335.53,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2441291,# 104 3733 NORFOLK STREET,Burnaby,Central BN,1,1,Apartment,"End Unit, Ground Level Unit",2020-03-07,399800,399800,399800,686,26,1875.04,Freehold Strata,302.97,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2441899,4274 GARDEN GROVE DRIVE,Burnaby,Greentree Village,2,2,Townhouse,,2020-03-11,571000,535000,535000,938,45,2228.88,Freehold Strata,320.63,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM
R2439137,4368 GARDEN GROVE DRIVE,Burnaby,Greentree Village,2,1,Townhouse,,2020-04-27,490000,499900,509999,911,43,2212.97,Freehold Strata,327.75,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2426375,# 408 6820 RUMBLE STREET,Burnaby,South Slope,1,1,Apartment,"1 Storey, Upper Unit",2020-01-13,422000,439900,439900,730,28,1814.0,Freehold Strata,308.85,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2418430,# 102 6939 GILLEY AVENUE,Burnaby,Highgate,2,2,Apartment,Ground Level Unit,2020-01-10,482000,489000,489000,887,30,1415.15,Freehold Strata,375.39,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2442775,# 222 6105 KINGSWAY,Burnaby,Highgate,2,1,Apartment,"1 Storey, Corner Unit",2020-04-05,460000,499900,499900,902,36,1898.93,Freehold Strata,285.33,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM3
R2446770,# 120 6105 KINGSWAY,Burnaby,Highgate,2,1,Apartment,Ground Level Unit,2020-03-31,355000,369000,369000,857,36,1902.61,Freehold Strata,239.74,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM3
R2430542,# 305 6105 KINGSWAY,Burnaby,Highgate,2,1,Apartment,1 Storey,2020-02-03,394500,399000,399000,905,36,239.74,Freehold Strata,290.52,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM3
R2438097,# 201 6105 KINGSWAY,Burnaby,Highgate,2,1,Apartment,"3 Storey, Inside Unit",2020-03-16,398000,418000,418000,887,36,1868.8,Freehold Strata,279.12,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM3
R2425341,# PH21 6283 KINGSWAY,Burnaby,Highgate,2,2,Apartment,"Penthouse, Upper Unit",2020-01-13,572900,579000,579000,743,2,2371.01,Freehold Strata,278.98,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2447133,# PH27 6283 KINGSWAY,Burnaby,Highgate,1,1,Apartment,"1 Storey, Corner Unit",2020-06-12,460000,489000,518000,618,2,2132.35,Freehold Strata,319.39,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2433241,# 233 6283 KINGSWAY,Burnaby,Highgate,1,1,Apartment,1 Storey,2020-02-12,460000,498000,498000,591,2,2075.53,Freehold Strata,222.37,"Pets Allowed with Restrictions, Rentals Allowed",MF
R2424302,# PH30 6283 KINGSWAY,Burnaby,Highgate,1,1,Apartment,1 Storey,2020-02-08,477500,519000,519000,591,2,2143.71,Freehold Strata,222.37,"Pets Allowed with Restrictions, Rentals Allowed",APT
R2443381,# 303 6283 KINGSWAY,Burnaby,Highgate,1,1,Apartment,1 Storey,2020-03-18,488000,508000,508000,598,2,2095.0,First Nations Lease,313.0,"Pets Allowed with Restrictions, Rentals Allowed",MF
R2426437,# 101 6283 KINGSWAY,Burnaby,Highgate,1,1,Apartment,"1 Storey, Ground Level Unit",2020-01-22,525000,525000,545000,720,2,2342.6,Freehold Strata,266.85,Rentals Allowed with Restrictions,STRATA
R2450649,# 801 6611 SOUTHOAKS CRESCENT,Burnaby,Highgate,1,1,Apartment,"Corner Unit, Upper Unit",2020-06-02,504000,515000,515000,755,20,2170.84,Freehold Strata,266.16,"Rentals Allowed with Restrictions, Rentals Not Allowed, Smoking Restrictions",CD
R2431343,# 2302 6688 ARCOLA STREET,Burnaby,Highgate,2,2,Apartment,Upper Unit,2020-02-03,599000,599000,599000,744,9,1734.61,Freehold Strata,231.2,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RMS
R2430418,# 105 6930 BALMORAL STREET,Burnaby,Highgate,1,1,Apartment,"Corner Unit, Ground Level Unit",2020-01-29,467000,469900,469900,774,25,2067.52,Freehold Strata,252.6,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM2
R2444652,7430 HAWTHORNE TERRACE,Burnaby,Highgate,2,2,Townhouse,,2020-04-11,584000,599000,622000,915,21,2477.98,Freehold Strata,269.02,"Pets Allowed, Rentals Allowed with Restrictions","CD,RM3"
R2436081,# 303 7383 GRIFFITHS DRIVE,Burnaby,Highgate,1,1,Apartment,Upper Unit,2020-02-17,445000,449900,449900,721,20,1937.33,Freehold Strata,299.0,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2447150,# 205 7383 GRIFFITHS DRIVE,Burnaby,Highgate,1,1,Apartment,"End Unit, Upper Unit",2020-04-19,425000,438000,449000,732,20,1985.62,Freehold Strata,302.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2451404,# 117 7055 WILMA STREET,Burnaby,Highgate,1,1,Apartment,Ground Level Unit,2020-04-23,395000,399900,399900,745,42,1740.52,Freehold Strata,331.87,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM3
R2456940,# 410 7151 EDMONDS STREET,Burnaby,Highgate,1,1,Apartment,"Corner Unit, Upper Unit",2020-05-24,450000,399000,399000,922,43,1692.0,Freehold Strata,299.46,"Pets Allowed with Restrictions, Rentals Not Allowed",RM-3
R2455403,# 103 7275 SALISBURY AVENUE,Burnaby,Highgate,2,1,Apartment,Ground Level Unit,2020-05-17,437000,448000,448000,748,39,1755.51,Freehold Strata,284.39,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2437120,# 108 7139 18TH AVENUE,Burnaby,Edmonds BE,1,1,Apartment,Corner Unit,2020-02-29,475000,488800,488800,921,26,2116.92,Freehold Strata,319.31,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2420346,# 302 7139 18TH AVENUE,Burnaby,Edmonds BE,1,1,Apartment,"Inside Unit, Upper Unit",2019-12-02,454500,475000,475000,832,26,2031.97,Freehold Strata,271.8,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2400922,# 7 7077 BERESFORD STREET,Burnaby,Highgate,2,2,Townhouse,,2020-01-22,550000,579000,618000,982,25,2247.32,Freehold Strata,291.54,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2446053,# 303 7077 BERESFORD STREET,Burnaby,Highgate,2,2,Apartment,"Corner Unit, Upper Unit",2020-03-21,544800,548900,548900,907,24,2153.44,Freehold Strata,269.18,No Restrictions,STRATA
R2445324,# 703 7077 BERESFORD STREET,Burnaby,Highgate,2,2,Apartment,Other,2020-03-24,548500,554800,554800,906,24,2198.9,Freehold Strata,269.18,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RES
R2447099,# 501 7225 ACORN AVENUE,Burnaby,Highgate,2,2,Apartment,"Corner Unit, Upper Unit",2020-03-28,565000,574800,574800,803,11,2328.45,Freehold Strata,254.14,"Pets Allowed with Restrictions, Rentals Allowed",MULTI
R2397469,# 1007 7225 ACORN AVENUE,Burnaby,Highgate,2,2,Apartment,1 Storey,2020-01-09,558000,575000,615000,772,11,1607.16,Freehold Strata,239.94,"Pets Allowed, Rentals Allowed",STRATA
R2437956,# 305 7225 ACORN AVENUE,Burnaby,Highgate,2,2,Apartment,Corner Unit,2020-02-26,560000,568000,568000,797,11,2302.85,Freehold Strata,254.15,Pets Allowed with Restrictions,CD
R2437506,# 502 7171 BERESFORD STREET,Burnaby,Highgate,2,2,Apartment,1 Storey,2020-03-04,491800,510000,510000,916,44,1953.95,Freehold Strata,357.69,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2429094,# 201 7171 BERESFORD STREET,Burnaby,Highgate,2,2,Apartment,Corner Unit,2020-01-20,456000,399900,399900,883,44,1854.51,Freehold Strata,356.44,Rentals Allowed,CDRM5
R2441871,# 604 7171 BERESFORD STREET,Burnaby,Highgate,2,2,Apartment,"Corner Unit, Upper Unit",2020-03-06,490000,518000,518000,898,44,1931.23,Freehold Strata,357.69,"Pets Allowed with Restrictions, Rentals Allowed",MF
R2435313,# 20 7503 18TH STREET,Burnaby,Edmonds BE,2,2,Apartment,"Corner Unit, Ground Level Unit",2020-02-18,561000,548888,548888,890,15,2374.79,Freehold Strata,187.52,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2433185,# 324 7058 14TH AVENUE,Burnaby,Edmonds BE,1,1,Apartment,Upper Unit,2020-02-07,475000,475000,475000,628,5,2105.69,Freehold Strata,205.01,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CONDO
R2458397,# 308B 7025 STRIDE AVENUE,Burnaby,Edmonds BE,2,2,Apartment,"Corner Unit, End Unit",2020-06-07,505000,499900,499900,878,28,2095.4,Freehold Strata,220.0,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2395232,# 22 7128 STRIDE AVENUE,Burnaby,Edmonds BE,2,2,Townhouse,,2020-04-21,590000,598999,638000,1036,17,2417.23,Freehold Strata,327.91,"Pets Allowed with Restrictions, Rentals Allowed","CD,RM2"
R2407450,# 222 7133 14TH AVENUE,Burnaby,Edmonds BE,2,2,Apartment,Inside Unit,2020-01-06,599900,599900,599900,809,0,,Freehold Strata,254.95,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM4
R2429036,# 22 7184 STRIDE AVENUE,Burnaby,Edmonds BE,3,2,Townhouse,,2020-02-13,596800,639000,639000,1183,28,2608.48,Freehold Strata,292.15,"Pets Allowed, Rentals Allowed with Restrictions",RES
R2432278,# 17 7184 STRIDE AVENUE,Burnaby,Edmonds BE,2,1,Townhouse,,2020-02-11,508000,510000,510000,900,28,2312.99,Freehold Strata,234.09,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",TOWNHO
R2450864,# 415 6735 STATION HILL COURT,Burnaby,South Slope,1,1,Apartment,"Penthouse, Upper Unit",2020-04-26,398000,399000,399000,744,29,1923.06,Freehold Strata,276.63,"Pets Allowed with Restrictions, Rentals Not Allowed",STRATA
R2447176,# 5 7345 SANDBORNE AVENUE,Burnaby,South Slope,2,3,Townhouse,,2020-03-25,560000,549000,549000,1229,28,2418.28,Freehold Strata,369.96,"Pets Allowed, Rentals Allowed with Restrictions",CD
R2445660,# 404 6745 STATION HILL COURT,Burnaby,South Slope,1,1,Apartment,Upper Unit,2020-06-20,445000,449000,489000,707,26,1938.65,Freehold Strata,207.33,"Pets Allowed with Restrictions, Rentals Not Allowed",CD RM3
R2457751,# 217 6707 SOUTHPOINT DRIVE,Burnaby,South Slope,2,2,Apartment,1 Storey,2020-06-09,507500,538000,538000,982,30,2422.36,Freehold Strata,392.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2432044,# 403 6833 STATION HILL DRIVE,Burnaby,South Slope,2,2,Apartment,Corner Unit,2020-02-13,588000,608000,608000,855,16,2396.23,Freehold Strata,342.97,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2419286,# 1506 6837 STATION HILL DRIVE,Burnaby,South Slope,2,2,Apartment,Corner Unit,2020-02-20,600000,628000,628000,820,21,2312.36,Freehold Strata,360.0,"Pets Allowed with Restrictions, Rentals Not Allowed",APT
R2427352,# 1101 6837 STATION HILL DRIVE,Burnaby,South Slope,2,2,Apartment,1 Storey,2020-02-17,588000,610000,628000,913,20,2366.36,Freehold Strata,444.0,"Pets Allowed with Restrictions, Rentals Not Allowed",STRATA
R2429885,# 403 7465 SANDBORNE AVENUE,Burnaby,South Slope,1,1,Apartment,"Corner Unit, Penthouse",2020-01-28,500000,508000,508000,770,30,2099.53,Freehold Strata,314.84,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
